Nomer;Company;Code;Year;RS;ROA;ROE;NPM
1;Astra Agro Lestari;AALI;2018;-0,070454545;0,056623036;0,078087822;0,079684142
1;Astra Agro Lestari;AALI;2019;0,257799511;0,009031952;0,012837087;0,013959359
1;Astra Agro Lestari;AALI;2020;-0,14602286;0,0321489;0,046435399;0,047523633
1;Astra Agro Lestari;AALI;2021;-0,208686151;0,068005539;0,097649856;0,084999503
1;Astra Agro Lestari;AALI;2022;-0,122540559;0,061267052;0,080564672;0,082092629
2;ABM Investama;ABMM;2018;-0,013266998;0,078910827;0,271268783;0,086963833
2;ABM Investama;ABMM;2019;-0,313165266;0,004558497;0,015881302;0,006573317
2;ABM Investama;ABMM;2020;-0,498368679;-0,04562175;-0,233324472;-0,062235429
2;ABM Investama;ABMM;2021;0,868292683;0,179592246;0,521686014;0,182200193
2;ABM Investama;ABMM;2022;1,514360313;0,172067379;0,552429796;0,2359949
3;Ace Hardware Indonesia;ACES;2018;0,315;0,183480549;0,230504073;0,134851791
3;Ace Hardware Indonesia;ACES;2019;0,020532319;0,175095436;0,2185767;0,127304211
3;Ace Hardware Indonesia;ACES;2020;0,160208644;0,100910722;0,140036766;0,09865368
3;Ace Hardware Indonesia;ACES;2021;-0,236351959;0,098312648;0,126366732;0,107748739
3;Ace Hardware Indonesia;ACES;2022;-0,603027754;0,092978342;0,113582744;0,099659914
4;Adhi Karya (Persero);ADHI;2018;-0,148839842;0,021435516;0,102625471;0,041201431
4;Adhi Karya (Persero);ADHI;2019;-0,240691489;0,01793874;0,095847166;0,042791612
4;Adhi Karya (Persero);ADHI;2020;0,3441331;0,000622226;0,004251804;0,002189111
4;Adhi Karya (Persero);ADHI;2021;-0,416938111;0,002167901;0,015288879;0,007501861
4;Adhi Karya (Persero);ADHI;2022;-0,459217877;0,004381738;0,019856545;0,012931572
5;ADARO ENERGY;ADRO;2018;-0,303669725;0,067695794;0,111085289;0,132044199
