Nomer;Perusahaan;Code;Tahun;RS;ROA;ROE;NPM
1;Adhi Karya (Persero);ADHI;2018;-0,148839842;0,021435516;0,102625471;0,041201431
1;Adhi Karya (Persero);ADHI;2019;-0,240691489;0,01793874;0,095847166;0,042791612
1;Adhi Karya (Persero);ADHI;2020;0,3441331;0,000622226;0,004251804;0,002189111
1;Adhi Karya (Persero);ADHI;2021;-0,416938111;0,002167901;0,015288879;0,007501861
1;Adhi Karya (Persero);ADHI;2022;-0,459217877;0,004381738;0,019856545;0,012931572
2;Bank Rakyat Indonesia Agroniaga;AGRO;2018;-0,405405405;0,008759367;0,046157278;0,122748723
2;Bank Rakyat Indonesia Agroniaga;AGRO;2019;-0,357142857;0,001886403;0,011393211;0,024849161
2;Bank Rakyat Indonesia Agroniaga;AGRO;2020;4,227272727;0,001115847;0,007290872;0,016184621
2;Bank Rakyat Indonesia Agroniaga;AGRO;2021;0,748792271;-0,180576707;-1,239267141;-1,849033958
2;Bank Rakyat Indonesia Agroniaga;AGRO;2022;-0,77679558;0,000824605;0,003381736;0,011127509
3;Sumber Alfaria Trijaya;AMRT;2018;0,545454545;0,030155507;0,111079278;0,010003786
3;Sumber Alfaria Trijaya;AMRT;2019;-0,061085973;0,047468871;0,165432483;0,015612971
3;Sumber Alfaria Trijaya;AMRT;2020;-0,065060241;0,048912317;0,157879868;0,016686286
3;Sumber Alfaria Trijaya;AMRT;2021;0,534793814;0,071722113;0,208219463;0,023120737
3;Sumber Alfaria Trijaya;AMRT;2022;1,204869857;0,094563619;0,253470192;0,029997291
4;Bank Artos Indonesia;ARTO;2018;0,095238095;-0,027612032;-0,15881793;-0,667357551
4;Bank Artos Indonesia;ARTO;2019;15,84782609;-0,089924205;-0,174396157;-10,33
4;Bank Artos Indonesia;ARTO;2020;0,150322581;-0,086962406;-0,15382774;-2,932476332
4;Bank Artos Indonesia;ARTO;2021;3,486819966;0,006986765;0,01042784;0,145868165
4;Bank Artos Indonesia;ARTO;2022;-0,7675;0,000937974;0,001925637;0,011761306
5;Astra International;ASII;2018;0,017681114;0,079405647;0,156982846;0,114429046
5;Astra International;ASII;2019;-0,132533825;0,075636866;0,14253894;0,112246275
5;Astra International;ASII;2020;-0,096419709;0,054910808;0,095014684;0,106092113
