Nomer;Perusahaan;Code;Tahun;RS;ROA;ROE;NPM
1;Astra Agro Lestari;AALI;2018;-0,070454545;0,056623036;0,078087822;0,079684142
1;Astra Agro Lestari;AALI;2019;0,257799511;0,009031952;0,012837087;0,013959359
1;Astra Agro Lestari;AALI;2020;-0,14602286;0,0321489;0,046435399;0,047523633
1;Astra Agro Lestari;AALI;2021;-0,208686151;0,068005539;0,097649856;0,084999503
1;Astra Agro Lestari;AALI;2022;-0,122540559;0,061267052;0,080564672;0,082092629
2;ABM Investama;ABMM;2018;-0,013266998;0,078910827;0,271268783;0,086963833
2;ABM Investama;ABMM;2019;-0,313165266;0,004558497;0,015881302;0,006573317
2;ABM Investama;ABMM;2020;-0,498368679;-0,04562175;-0,233324472;-0,062235429
2;ABM Investama;ABMM;2021;0,868292683;0,179592246;0,521686014;0,182200193
2;ABM Investama;ABMM;2022;1,514360313;0,172067379;0,552429796;0,2359949
3;Ace Hardware Indonesia;ACES;2018;0,315;0,183480549;0,230504073;0,134851791
3;Ace Hardware Indonesia;ACES;2019;0,020532319;0,175095436;0,2185767;0,127304211
3;Ace Hardware Indonesia;ACES;2020;0,160208644;0,100910722;0,140036766;0,09865368
3;Ace Hardware Indonesia;ACES;2021;-0,236351959;0,098312648;0,126366732;0,107748739
3;Ace Hardware Indonesia;ACES;2022;-0,603027754;0,092978342;0,113582744;0,099659914
4;ADARO ENERGY;ADRO;2018;-0,303669725;0,067695794;0,111085289;0,132044199
4;ADARO ENERGY;ADRO;2019;0,338603426;0,060274352;0,10921416;0,125831646
4;ADARO ENERGY;ADRO;2020;-0,000984252;0,02491382;0,040232794;0,062721893
4;ADARO ENERGY;ADRO;2021;0,786206897;0,135494926;0,23059668;0,257450538
4;ADARO ENERGY;ADRO;2022;0,790402648;0,262567242;0,433736786;0,349419896
5;Aneka Gas Industri;AGII;2018;0,124369748;0,015116051;0,031683161;0,048103999
5;Aneka Gas Industri;AGII;2019;0,028400598;0,014381326;0,030601316;0,045820576
